PD TLB Correspondance:

  Perfect Dark compresses the ASM loaded to TLB addresses.  Unlike GoldenEye, these are 0x1000 byte clumps instead of 0x2000.
  To find the start of the block regardless region and version, search for "1173001000".  This is the compression header plus the decompressed file size, which in this case is always 0x1000.

TLB address	E 1.0	E 1.1	NPDJ	NPDP
7F07C000		 9AB1A			
7F07D000		 9B5A6			
7F07E000		 9BFE6			
7F07F000		 9CAD4			
7F080000		 9D482			
7F081000		 9DEB8			
7F082000		 9E9BA			
7F083000		 9F418			
7F084000		 9FD94			
7F085000		 A08BC			
7F086000		 A1366			
7F087000		 A1E18			
7F088000		 A273E			
7F089000		 A306A			
7F08A000		 A39F4			
7F08B000		 A4300			
7F08C000		 A4D04			
7F08D000		 A5682			
7F08E000		 A5DB8			
7F08F000		 A6778			
7F090000		 A71E4			
7F091000		 A7B8A			
7F092000		 A8564			
7F093000		 A8F40			
7F094000		 A9960			
7F095000		 AA3AE			
7F096000		 AAD8A			
7F097000		 AB67A			
7F098000		 ABFBE			
7F099000		 ACA86			
7F09A000		 AD48E			
7F09B000		 ADF3A			
7F09C000		 AE8E6			
7F09D000		 AF254			
7F09E000		 AFCC4			
7F09F000		 B0832			
7F0A0000		 B1394			
7F0A1000		 B1E76			
7F0A2000		 B2904			
			7F0A215C			display name of item A0; calls 7F16E7C4 to display text at item+46
		accepts: A0=item#
		fries:   V0,V1,A0,A1,T0,T6,T7,T8,T9
			7F0A21A4			V0= name of item A0 [item+46]
		accepts: A0=item#
		fries:   V1,T6
			7F0A21D0			display name of item A0; calls 7F16E7C4 to display text at item+44
		accepts: A0=item#
		fries:   V0,V1,A0,A1,T0,T6,T7,T8,T9
			7F0A2218
		
7F0A3000		 B32C4			
7F0A4000		 B3D20			
7F0A5000		 B46E4			
7F0A6000		 B518E			
7F0A7000		 B5CA6			
7F0A8000		 B67EE			
7F0A9000		 B725E			
7F0AA000		 B7CC2			
7F0AB000		 B86E0			
7F0AC000		 B915A			
7F0AD000		 B9C0E			
7F0AE000		 BA632			
7F0AF000		 BAF40			
7F0B0000		 BB940			
7F0B1000		 BC2E8			
7F0B2000		 BCA9A			
7F0B3000		 BD3F4			
7F0B4000		 BDCD0			
7F0B5000		 BE70A			
7F0B6000		 BEE1E			
7F0B7000		 BF858			
7F0B8000		 C0330			
7F0B9000		 C0DB2			
7F0BA000		 C17D4			
7F0BB000		 C2284			
7F0BC000		 C2C46			
7F0BD000		 C3538			
7F0BE000		 C3EC4			
7F0BF000		 C48E8			
7F0C0000		 C5294			
7F0C1000		 C5CDE			
7F0C2000		 C670A			
7F0C3000		 C7186			
7F0C4000		 C7BCE			
7F0C5000		 C85B2			
7F0C6000		 C8F9E			
7F0C7000		 C992A			
7F0C8000		 CA1BC			
7F0C9000		 CAAF6			
7F0CA000		 CB4E0			
7F0CB000		 CBED2			
7F0CC000		 CC890			
7F0CD000		 CD332			
7F0CE000		 CDDAA			
7F0CF000		 CE78C			
7F0D0000		 CF170			
7F0D1000		 CFBC0			
7F0D2000		 D04F4			
7F0D3000		 D0FD6			
7F0D4000		 D1A2E			
7F0D5000		 D2468			
7F0D6000		 D2DD6			
7F0D7000		 D37B6			
7F0D8000		 D4134			
7F0D9000		 D494A			
7F0DA000		 D532E			
7F0DB000		 D5B8C			
7F0DC000		 D6018			
7F0DD000		 D6986			
7F0DE000		 D7354			
7F0DF000		 D7D9E			
7F0E0000		 D88AE			
7F0E1000		 D9360			
7F0E2000		 D9D70			
7F0E3000		 DA6DE			
7F0E4000		 DB064			
7F0E5000		 DB7D6			
7F0E6000		 DC178			
7F0E7000		 DCBF0			
7F0E8000		 DD60E			
7F0E9000		 DE0B8			
7F0EA000		 DEAF8			
7F0EB000		 DF528			
7F0EC000		 DFEA8			
7F0ED000		 E08D4			
7F0EE000		 E13BC			
7F0EF000		 E1DF0			
7F0F0000		 E2882			
7F0F1000		 E3276			
7F0F2000		 E3C18			
7F0F3000		 E469E			
7F0F4000		 E51DA			
7F0F5000		 E5C96			
7F0F6000		 E6712			
7F0F7000		 E71E8			
7F0F8000		 E7B50			
7F0F9000		 E85EC			
7F0FA000		 E9078			
7F0FB000		 E9AE4			
7F0FC000		 EA4EE			
7F0FD000		 EAEEE			
7F0FE000		 EB9AA			
7F0FF000		 EC3D2			
7F100000		 ECC9C			
7F101000		 ED5F0			
7F102000		 EDF80			
7F103000		 EE688			
7F104000		 EEEB4			
7F105000		 EF878			
7F106000		 F022C			
7F107000		 F0B9A			
7F108000		 F1420			
7F109000		 F1B2C			
7F10A000		 F24B2			
7F10B000		 F2E2A			
7F10C000		 F36EA			
7F10D000		 F3FD0			
7F10E000		 F4782			
7F10F000		 F507A			
7F110000		 F5718			
7F111000		 F6002			
7F112000		 F69E0			
7F113000		 F724A			
7F114000		 F7C5A			
7F115000		 F86D4			
7F116000		 F90DA			
7F117000		 F98A6			
7F118000		 FA0DE			
7F119000		 FAA92			
7F11A000		 FB4D0			
7F11B000		 FBE92			
7F11C000		 FC906			
7F11D000		 FD28A			
7F11E000		 FDB90			
7F11F000		 FE3A6			
7F120000		 FEBFC			
7F121000		 FF34E			
7F122000		 FFAB4			
7F123000		1004B4			
7F124000		100E16			
7F125000		10168C			
7F126000		1020B0			
7F127000		102B60			
7F128000		10360C			
7F129000		103FA4			
7F12A000		104A84			
7F12B000		1055D2			
7F12C000		1060A6			
7F12D000		106B9C			
7F12E000		107514			
7F12F000		107F5E			
7F130000		108A34			
7F131000		10940C			
7F132000		109E48			
7F133000		10A728			
7F134000		10B14E			
7F135000		10BBD6			
7F136000		10C60C			
7F137000		10CF4E			
7F138000		10D8AA			
7F139000		10E2B4			
7F13A000		10ED66			
7F13B000		10F86C			
7F13C000		1102F4			
7F13D000		110D64			
7F13E000		1118D0			
7F13F000		112372			
7F140000		112E46			
7F141000		1137EE			
7F142000		11426C			
7F143000		114B6E			
7F144000		115582			
7F145000		115C0C			
7F146000		116460			
7F147000		116B90			
7F148000		11762C			
7F149000		1180E0			
7F14A000		118BE0			
7F14B000		11932A			
7F14C000		119D36			
7F14D000		11A752			
7F14E000		11B0AE			
7F14F000		11BAC4			
7F150000		11C506			
7F151000		11D032			
7F152000		11DA7A			
7F153000		11E1C2			
7F154000		11EA7C			
7F155000		11F2B2			
7F156000		11FD26			
7F157000		120790			
7F158000		121268			
7F159000		121CF2			
7F15A000		1225AA			
7F15B000		122FD4			
7F15C000		123B3E			
7F15D000		1245D6			
7F15E000		124F94			
7F15F000		125A3A			
7F160000		126368			
7F161000		126CE0			
7F162000		1277DC			
7F163000		1281F6			
7F164000		128D3E			
7F165000		1297FE			
7F166000		12A24A			
7F167000		12AC44			
7F168000		12B586			
7F169000		12C01C			
7F16A000		12C9F2			
7F16B000		12D44A			
7F16C000		12DC3E			
7F16D000		12E4F4			
7F16E000		12EC60			
			7F16E7C4			V0=p->text for text ID A0
		accepts: A0=text ID
		fries:   V1,A1,T0,T6,T7,T8,T9
			7F16E808			A0->SP+0; deleted routine, most likely
			7F16E818			
			
7F16F000		12F63A			
7F170000		13004E			
7F171000		1309D6			
7F172000		13133C			
7F173000		131BFE			
7F174000		1325F2			
7F175000		132ECE			
7F176000		13384A			
7F177000		1341B8			
7F178000		134AFE			
7F179000		135414			
			7F1791C8			determine if MP stage is accessible
			7F1794B4			

7F17A000		135C3C			
7F17B000		136398			
7F17C000		136E30			
7F17D000		1376C0			
7F17E000		137F78			
7F17F000		13888A			
			7F17F024			display text for selected MP weapon set
			7F17F088			

7F180000		1391D0			
7F181000		139C74			
7F182000		13A74A			
7F183000		13B1D2			
7F184000		13BCA0			
7F185000		13C6DC			
7F186000		13D010			
7F187000		13DA2A			
7F188000		13E4F2			
7F189000		13EF3E			
			7F1892DC			copies selected MP weapon set as current
			7F1895BC
			
7F18A000		13F856			
7F18B000		14017C			
7F18C000		140B68			
7F18D000		1414B2			
7F18E000		141D2E			
7F18F000		1426FE			
7F190000		1430E0			
7F191000		143B86			
7F192000		14460A			
7F193000		145038			
7F194000		145AC2			
7F195000		146524			
7F196000		146DAC			
7F197000		1477CC			
7F198000		148214			
7F199000		148CA2			
7F19A000		1496FC			
7F19B000		14A22C			
7F19C000		14AB42			
			7F19C910			V0=1 if lock byte A0 unlocked; unlock flags with 0x1 set
		accepts: A0=lock byte #
		fries:   T6
			7F19C938			V0=1 if bit A0 in lock byte A1 set
		accepts: A0=bit# 0-7, A1=lock byte #
		fries:   T6,T7,T8,T9
			7F19C96C			V0=TRUE if A0=0; V0=FALSE if A0!=0
			7F19C990			
			
7F19D000		14B2FE			
7F19E000		14BCA6			
7F19F000		14C766			
7F1A0000		14D22E			
7F1A1000		14DD86			
7F1A2000		14E41E			
7F1A3000		14ECF8			
7F1A4000		14F640			
7F1A5000		14FE72			
7F1A6000		1504E2			
7F1A7000		150CDC			
7F1A8000		15162E			
7F1A9000		151CAC			
7F1AA000		15239E			
7F1AB000		1529B0			
7F1AC000		153000			
7F1AD000		153502			
7F1AE000		153C1C			
7F1AF000		153C38			
7F1B0000		153C54			
7F1B1000		153C70			
7F1B2000		153D64			
7F1B3000		1543E8			
7F1B4000		154AB6			
7F1B5000		1550EC			
7F1B6000		155902			
7F1B7000		155F8A			
7F1B8000		1566BE			
7F1B9000		157810			
7F1BA000		1580AC			
7F1BB000		158B82			
7F1BC000		159686			
7F1BD000		15A0B4			
7F1BE000		15AB90			
7F1BF000		15B5BA			
7F1C0000		15BF94			
7F1C1000		15C834			
7F1C2000		15CF7A			
7F1C3000		15DA42			
7F1C4000		15E4C2			
7F1C5000		15EE8E			
7F1C6000		15F7DC			
7F1C7000		160244			
7F1C8000		160CD8			
7F1C9000		1615C2			
7F1CA000		162026			
7F1CB000		16291A			
7F1CC000		1634A8			
7F1CD000		163E68			
7F1CE000		164962			
7F1CF000		165358			
7F1D0000		165D46			
7F1D1000		166780			
7F1D2000		167124			
7F1D3000		167B36			
7F1D4000		1683A8			
7F1D5000		168E0A			
7F1D6000		169852			
7F1D7000		16A2EA			
7F1D8000		16ACF8			
7F1D9000		16B77E			
7F1DA000		16C2C4			
7F1DB000		16CCCE			
7F1DC000		16D76E			
7F1DD000		16E13A			
7F1DE000		16EC16			
7F1DF000		16F72E			
7F1E0000		16FFDC			
7F1E1000		170A44			
7F1E2000		171578			
7F1E3000		171F86			
7F1E4000		172952			
7F1E5000		173280			
7F1E6000		173D4A			
7F1E7000		174858			
7F1E8000		175144			
7F1E9000		1757BE			
7F1EA000		176048			
7F1EB000		176B1E			
7F1EC000		1774C0			
7F1ED000		177F7C			
7F1EE000		1788F0			
7F1EF000		17933C			
7F1F0000		179D38			
7F1F1000		17A722			
7F1F2000		17B162			
7F1F3000		17BA42			
7F1F4000		17C0F4			
7F1F5000		17CB68			
7F1F6000		17D544			
7F1F7000		17DEC6			
7F1F8000		17E792			
7F1F9000		17F1BE			
7F1FA000		17FCDE			
7F1FB000		1807B6			
7F1FC000		1811D4			
7F1FD000		181B2E			
7F1FE000		1824C8			
7F1FF000		182E32			
7F200000		1837D0			
7F201000		184292			
7F202000		184C84			
7F203000		185468			
7F204000		185E24			
7F205000		18691C			
7F206000		1873FC			
7F207000		187D9C			
7F208000		18840A			
7F209000		18883C			
7F20A000		188DE8			
7F20B000		189626			
7F20C000		189C16			
7F20D000		18A1C0			
7F20E000		18A63C			
7F20F000		18AE50			
7F210000		18B6EA			
7F211000		18BF16			
7F212000		18C72C			
7F213000		18D02C			
7F214000		18DA1E			
7F215000		18E2EE			
7F216000		18EBC2			
7F217000		18F32A			
7F218000		18FC76			
7F219000		190506			
7F21A000		190EF6			
7F21B000		19197C			
7F21C000		192410			
7F21D000		192D70			
7F21E000		1937BC			
7F21F000		19421A			
7F220000		194AEE			
End of Table		194B30			
(table followed by font)
              	      			
